Class,level2,Categories,Number,Words
CLASS        I,SECTION        I,CLASS        ISECTION        I,1. Existence ,"existence, entity, esse, subsistence, reality, actuality, positiveness, fact, matter, fact, sober, reality, truth, actual, existence, presence, existence, space, coexistence, stubborn, fact, hard, fact, dream, joke, center, life, essence, inmost, nature, inner, reality, vital, principle, science, existence, ontology, exist, subsist, live, breathe, stand, obtain, case, occur, event, place, prevail, find, oneself, pass, time, vegetate, consist, lie, comprised, contained, constituted, come, existence, arise, begin, come, forth, appear, become, converted, bring, existence, abide, continue, endure, last, remain, stay, existing, existent, sun, existence, extant, afloat, afoot, foot, current, prevalent, undestroyed, real, actual, positive, absolute, true, substantial, substantive, selfexisting, selfexistent, essential, wellfounded, wellgrounded, unideal, unimagined, potential, authentic, actually, fact, point, fact, reality, indeed, de, facto, ipso, facto, rationis, ergo, sum, cogito, thinkest, thou, existence, doth, depend, thinkest, thou, existence, doth, depend, time, byron"
CLASS        I,SECTION        I,CLASS        ISECTION        I,2. Inexistence ,"inexistence, nonexistence, nonsubsistence, nonentity, nil, negativeness, nullity, nihility, nihilism, tabula, rasa, blank, abeyance, absence, thing, nonbeing, nothingness, oblivion, annihilation, extinction, destruction, extinguishment, extirpation, nirvana, obliteration, exist, existence, null, void, cease, exist, pass, away, perish, extinct, become, extinct, die, disappear, melt, away, dissolve, leave, rack, behind, go, die, annihilate, render, null, nullify, abrogate, destroy, take, away, remove, displace, obliterate, extirpate, inexistent, nonexistent, negative, blank, missing, omitted, absent, insubstantial, shadowy, spectral, visionary, unreal, potential, virtual, baseless, nubibus, unsubstantial, vain, unborn, uncreated, unbegotten, unconceived, unproduced, unmade, perished, annihilated, extinct, exhausted, gone, lost, vanished, departed, gone, wind, defunct, dead, fabulous, ideal, imaginary, supposititious, negatively, virtually, concrete"
CLASS        I,SECTION        I,CLASS        ISECTION        I,3. Substantiality ,"substantiality, hypostasis, person, thing, object, article, item, something, existence, creature, body, substance, flesh, blood, stuff, substratum, matter, corporeity, element, essential, nature, groundwork, materiality, substantialness, vital, part, totality, existences, world, plenum, substantive, substantial, hypostatic, personal, bodily, tangible, material, corporeal, substantially, bodily, essentially"
CLASS        I,SECTION        I,CLASS        ISECTION        I,4. Unsubstantiality ,"unsubstantiality, insubstantiality, nothingness, nihility, degree, part, quantity, thing, nothing, naught, nil, nullity, zero, cipher, one, nobody, never, one, neer, one, contr, thing, none, world, nothing, whatever, nothing, nothing, earth, particle, smallness, talk, moonshine, stuff, nonsense, matter, importance, matter, consequence, thing, naught, man, straw, john, doe, richard, roe, faggot, voter, nominis, umbra, nonentity, flash, pan, vox, et, praeterea, nihil, shadow, phantom, fallacy, vision, dream, imagination, ignis, fatuus, luminary, stuff, dreams, made, tempest, air, thin, air, vapor, bubble, baseless, fabric, vision, tempest, mockery, hollowness, blank, void, absence, inanity, fools, paradise, vanish, evaporate, fade, dissolve, melt, away, disappear, unsubstantial, baseless, groundless, ungrounded, without, foundation, foundation, visionary, imaginary, immaterial, spectral, dreamy, shadowy, ethereal, airy, cloud, built, cloud, formed, gossamery, illusory, insubstantial, unreal, vacant, vacuous, empty, eviscerated, blank, hollow, nominal, null, inane, theres, nothing, ocean, dreams, without, sound, shelley, formal, existence"
CLASS        I,SECTION        I,CLASS        ISECTION        I,5. Intrinsicality ,"intrinsicality, inbeing, inherence, inhesion, subjectiveness, ego, egohood, essence, noumenon, essentialness, essential, part, quintessence, incarnation, quiddity, gist, pith, marrow, core, sap, lifeblood, backbone, heart, soul, important, part, importance, principle, nature, constitution, character, type, quality, crasis, diathesis, habit, temper, temperament, spirit, humor, grain, disposition, endowment, capacity, capability, power, moods, declensions, features, aspects, peculiarities, speciality, idiosyncrasy, oddity, idiocrasy, tendency, diagnostics, blood, run, blood, born, intrinsic, derived, within, subjective, intrinsic, intrinsical, fundamental, normal, implanted, inherent, essential, natural, innate, inborn, inbred, ingrained, inwrought, coeval, birth, genetous, haematobious, syngenic, radical, incarnate, thoroughbred, hereditary, inherited, immanent, congenital, congenite, connate, running, blood, ingenerate, ingenite, indigenous, grain, bred, bone, instinctive, inward, internal, manner, born, virtual, characteristic, special, indicative, invariable, incurable, incorrigible, ineradicable, fixed, intrinsically, bottom, main, effect, practically, virtually, substantially, au, fond, fairly, character, higher, intellect, emerson, come, give, us, taste, quality, hamlet, magnos, homines, virtute, metimur, fortuna, nepos, numero, haec, judicantur, sed, pondere, cicero, vital, spark, heavenly, flame, pope"
CLASS        I,SECTION        I,CLASS        ISECTION        I,6. Extrinsicality ,"extrinsicality, objectiveness, ego, extraneousness, accident, appearance, phenomenon, derived, without, objective, extrinsic, extrinsical, extraneous, foreign, modal, adventitious, ascititious, adscititious, incidental, accidental, nonessential, contingent, fortuitous, implanted, ingrafted, inculcated, infused, outward, apparent, external, extrinsically, modal, existence"
CLASS        I,SECTION        I,CLASS        ISECTION        I,7. State ,"state, condition, category, estate, lot, ease, trim, mood, pickle, plight, temper, aspect, appearance, dilemma, pass, predicament, constitution, habitude, diathesis, frame, fabric, stamp, set, fit, mold, mould, mode, modality, schesis, form, shape, tone, tenor, turn, trim, guise, fashion, light, complexion, style, character, state, possess, state, enjoy, state, labor, state, footing, fare, come, pass, conditional, modal, formal, structural, organic, conditionally, matter, stands, things, case"
CLASS        I,SECTION        I,CLASS        ISECTION        I,8. Circumstance ,"circumstance, situation, phase, position, posture, attitude, place, point, terms, regime, footing, standing, status, occasion, juncture, conjunctive, contingency, event, predicament, emergence, emergency, exigency, crisis, pinch, pass, push, occurrence, turning, point, bearings, land, lies, surroundings, context, environment, location, contingency, dependence, uncertainty, causation, attribution, circumstantial, given, conditional, provisional, critical, modal, contingent, incidental, adventitious, extrinsic, limitative, circumstances, circumstances, circumstances, conditions, thus, wise, accordingly, case, case, view, circumstances, sith, since, seeing, matters, stand, things, go, times, go, conditionally, provided, case, depending, circumstances, certain, circumstances, certain, conditions, happen, turn, event, contingency, case, event, provisionally, unless, without, according, circumstances, according, occasion, may, happen, may, turn, may, case, may, wind, blows, pro, nata, yet, sins, circumstance, lytton, section, ii, relation, absolute, relation"
CLASS        I,SECTION        II,CLASS        ISECTION        II,9. Relation ,"relation, bearing, reference, connection, concern, cognation, correlation, analogy, similarity, affinity, homology, alliance, homogeneity, association, approximation, nearness, filiation, consanguinity, interest, relevancy, dependency, relationship, relative, position, comparison, ratio, proportion, link, tie, bond, union, related, relation, relate, refer, bear, upon, regard, concern, touch, affect, pertain, belong, appertain, answer, interest, bring, relation, bring, bear, upon, connect, associate, draw, parallel, link, relative, correlative, cognate, relating, relative, relation, referable, referrible, belonging, appurtenant, common, related, connected, implicated, associated, affiliated, allied, en, rapport, touch, approximative, approximating, proportional, proportionate, proportionable, allusive, comparable, category, like, relevant, apt, applicable, equiparant, relatively, pertinently, thereof, respects, regards, concerning, anent, relating, relates, relation, reference, respect, regard, respect, speaking, propos, fr, connection, way, whereas, much, much, point, far, part, score, quoad, hoc, pro, nata, head, class, matter, thereby, hangs, tale, taming, shrew"
CLASS        I,SECTION        II,CLASS        ISECTION        II,10. Irrelation ,"irrelation, dissociation, misrelation, inapplicability, inconnection, multifariousness, disconnection, disjunction, inconsequence, independence, incommensurability, irreconcilableness, disagreement, heterogeneity, unconformity, irrelevancy, impertinence, nihil, ad, rem, intrusion, nonpertinence, relation, bearing, upon, concern, business, concern, business, nothing, intrude, bring, head, shoulders, drag, head, shoulders, lug, head, shoulders, irrelative, irrespective, unrelated, arbitrary, independent, unallied, unconnected, disconnected, adrift, isolated, insular, extraneous, strange, alien, foreign, outlandish, exotic, comparable, incommensurable, heterogeneous, unconformable, irrelevant, inapplicable, pertinent, purpose, impertinent, inapposite, beside, mark, propos, de, bottes, fr, aside, purpose, away, purpose, foreign, purpose, beside, purpose, beside, question, beside, transaction, beside, point, misplaced, intrusive, traveling, record, remote, farfetched, way, forced, neither, quite, another, thing, detached, segregate, disquiparant, multifarious, discordant, incidental, parenthetical, obiter, dicta, episodic, parenthetically, way, en, passant, fr, incidentally, irrespectively, without, reference, without, regard, abstract, se"
